29,NV,100
34,NC,87.1795
39,PA,86.4816
50,WI,85.5178
11,GA,82.2347
23,MI,72.6879
3,AZ,71.6717
55,N2,50.424
30,NH,34.9469
17,KS,34.7431
35,ND,24.6519
32,NM,19.8711
53,M2,17.1374
24,MN,15.3843
2,AK,14.1826
38,OR,13.0811
47,VA,6.1616
10,FL,5.307
16,IA,4.0096
54,N1,2.5706
44,TX,2.5556
20,ME,2.5527
36,OH,1.337
6,CO,0.045074
31,NJ,0.032745
41,SC,0.031421
40,RI,0.013143
21,MD,0.012486
4,AR,0.0033788
26,MO,0.0019821
15,IN,0.0014364
48,WA,0.00073502
25,MS,0.00047526
7,CT,0.00029675
27,MT,5.3404e-05
14,IL,4.0151e-05
28,NE,2.1521e-05
9,DE,2.1285e-05
19,LA,9.2835e-06
33,NY,5.452e-06
46,VT,1.8412e-06
45,UT,7.7115e-07
5,CA,2.7836e-08
51,WY,2.2589e-08
43,TN,6.4722e-10
52,M1,5.1548e-10
22,MA,2.7444e-11
42,SD,7.3384e-12
1,AL,5.7938e-12
18,KY,2.012e-12
12,HI,2.1314e-13
49,WV,1.0328e-13
13,ID,1.4149e-18
37,OK,0
8,DC,0
56,N3,-1.811e-15
